id,agency,brand,relationship_status,quality_score,evidence_count,brand_url,source_urls,methods
700,IMG Licensing,Opel,first_party_portfolio_presence,0.95,5,https://imglicensing.com/brands/opel/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1337,IMG Licensing,PBR,first_party_portfolio_presence,0.95,18,https://imglicensing.com/brands/professional-bull-riders/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1366,IMG Licensing,PJ Masks,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/pj-masks/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1363,IMG Licensing,Peppa Pig,first_party_portfolio_presence,0.95,6,https://imglicensing.com/brands/peppa-pig/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1296,IMG Licensing,Pepsi,first_party_portfolio_presence,0.95,10,https://imglicensing.com/brands/pepsi/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
701,IMG Licensing,PepsiCo,agent_supplied_client_listing,0.84,3,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list""]"
673,IMG Licensing,Peugeot,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
703,IMG Licensing,Pininfarina,first_party_portfolio_presence,0.95,13,https://imglicensing.com/brands/pininfarina/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1365,IMG Licensing,Pink Panther,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/pink-panther/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1364,IMG Licensing,Piñata Smashlings,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/pinata-smashlings/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1367,IMG Licensing,Play-Doh,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/play-doh/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
705,IMG Licensing,Polaroid,first_party_portfolio_presence,0.95,9,https://imglicensing.com/brands/polaroid/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1338,IMG Licensing,Power Slap,first_party_portfolio_presence,0.91,5,https://imglicensing.com/brands/power-slap/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""portfolio_card""]"
617,IMG Licensing,Professional Bull Riders,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
1442,IMG Licensing,Queer Eye,first_party_article_reference,0.74,4,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
1408,IMG Licensing,"RAM, UFC",first_party_article_reference,0.74,2,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
1309,IMG Licensing,RAYOVAC,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/rayovac/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1389,IMG Licensing,Rainbow 6,first_party_portfolio_presence,0.95,6,https://imglicensing.com/brands/rainbow-6/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1308,IMG Licensing,Ram,first_party_portfolio_presence,0.95,10,https://imglicensing.com/brands/ram/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1390,IMG Licensing,Rambo,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/rambo/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
648,IMG Licensing,Randy's Donuts,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/randys-donuts/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
